epoch,training_loss,val_loss,training_dice_bg,train_dice_rv,train_dice_myo,train_dice_lv,val_dice_bg,val_dice_rv,val_dice_myo,val_dice_lv
0,1.018801186,0.96824414,1.101476145,0.060483174,0.082323562,0.138571267,1.315815723,0.088350711,0.084492455,0.242199629
1,0.855694469,0.703936569,1.445333004,0.106999959,0.171637612,0.467857468,1.72972315,0.185536746,0.424765913,0.832760831
2,0.6667633,0.505367291,1.74276281,0.221024593,0.426208191,0.936633574,1.8254382,0.248087682,0.89844669,1.413159349
3,0.551736887,0.444101215,1.854966511,0.335106716,0.645791537,1.204058631,1.920067776,0.48496897,0.954630288,1.464839227
4,0.513702788,0.655002462,1.887797717,0.449074484,0.681911381,1.264139644,1.873708086,0.463692883,0.438339448,0.868201082
5,0.472265027,0.396317957,1.906212538,0.5009951,0.746295315,1.367479248,1.949051882,0.729935716,0.946197111,1.503114184
6,0.436994743,0.34028747,1.914619963,0.53403413,0.839789605,1.433952602,1.966571934,0.944853804,1.028298622,1.556768627
7,0.411881914,0.368370024,1.926191829,0.580246444,0.874889038,1.49491931,1.93701864,0.592721628,1.083223148,1.61974537
8,0.402133269,0.479597245,1.927546622,0.582367696,0.924002445,1.501598304,1.925021923,0.83015831,0.542488528,1.302996354
9,0.429795929,0.400210401,1.921216068,0.600082459,0.820260061,1.42213543,1.925353784,0.505880833,1.0194525,1.594061942
10,0.403678576,0.307128539,1.929150777,0.607830833,0.901398887,1.484469454,1.969596437,0.906426903,1.212535417,1.618090348
11,0.401273492,0.502951807,1.926425548,0.592160833,0.924335094,1.483107801,1.800032832,0.232365024,0.66433278,1.607855696
12,0.388461544,0.292869552,1.932610269,0.614163327,0.955242951,1.508390572,1.973450704,0.972611205,1.242807298,1.603028843
13,0.360703622,0.382031111,1.941444344,0.672446452,1.002480119,1.558150809,1.923279217,0.50492974,1.11971469,1.55166764
14,0.380401712,0.421151991,1.937098426,0.65253849,0.962423275,1.506705905,1.920134259,0.58330645,0.78309881,1.536436514
15,0.389602976,0.288946831,1.936275599,0.650892336,0.954408582,1.471712723,1.966270104,0.92823968,1.179493397,1.627577746
16,0.375904334,0.414986862,1.935801949,0.666505708,0.975476447,1.498977207,1.893985181,0.400781696,0.981917296,1.555269696
17,0.368863522,0.491763933,1.937008136,0.669989599,0.992623919,1.517687349,1.860623295,0.347165448,0.766356237,1.362595912
18,0.338472621,0.258227562,1.944949358,0.692519231,1.086209501,1.578960732,1.975622621,1.06897428,1.260228713,1.639863925
19,0.321800916,0.271618631,1.952752713,0.794850666,1.066228486,1.588394272,1.965655544,0.887196745,1.23021094,1.681093816
20,0.2823754,0.273084796,1.960990867,0.842816635,1.173477084,1.662538929,1.968589093,0.945682768,1.255768277,1.615084619
21,0.321879488,0.770096954,1.950017767,0.749813495,1.123820262,1.581322494,1.659484173,0.544971528,0.22458549,0.22481759
22,0.356530936,0.323918473,1.943746985,0.700631367,1.027930446,1.526165568,1.955736482,0.780834554,1.140370609,1.592308449
23,0.317988293,0.29346567,1.952175985,0.756685427,1.11422175,1.601446738,1.968353824,1.014519025,1.138134716,1.55381794
24,0.316064394,0.351671489,1.951337032,0.741954913,1.137272728,1.604262209,1.921012546,0.497586346,1.108195345,1.695254413
25,0.305681962,0.282682007,1.952681012,0.740228754,1.162199463,1.64051755,1.968056321,0.899270442,1.276021462,1.593472867
26,0.318292036,0.448720384,1.950523667,0.732671244,1.133296036,1.60035336,1.929301099,0.672928434,0.815180135,1.274066703
27,0.340628428,0.264965564,1.949185887,0.74570877,1.087144668,1.512191427,1.968862949,0.920016636,1.278119593,1.663120671
28,0.284054456,0.294044733,1.959995743,0.840006549,1.192759554,1.631773248,1.953875856,0.712302369,1.294916883,1.670422366
29,0.30249361,0.407974208,1.956086856,0.804643895,1.124572461,1.63159405,1.930758238,0.624387841,0.995104703,1.351940144
30,0.254430029,0.253199313,1.96650266,0.920437915,1.235448776,1.67607504,1.967487335,0.959568398,1.222777955,1.683155309
31,0.221253675,0.217647454,1.971244947,0.959963964,1.336343824,1.726697259,1.972756147,0.989182962,1.351419629,1.733819477
32,0.203797728,0.199980078,1.973580607,0.976678694,1.390694711,1.757711885,1.976578004,1.068506884,1.368813663,1.750525738
33,0.202482389,0.208932329,1.973947889,0.998888161,1.384250865,1.748982579,1.97384451,1.013385903,1.381733985,1.732368939
34,0.194528403,0.202754325,1.974700772,0.990659256,1.430854878,1.75655152,1.975404696,1.042518291,1.383467833,1.744198853
35,0.191587808,0.217536912,1.975649417,1.016795001,1.418086666,1.761378747,1.972396103,0.996265128,1.342123024,1.737011017
36,0.187514245,0.193164541,1.975702352,1.012081621,1.433071575,1.772612988,1.975496924,1.024742177,1.426388574,1.769628835
37,0.184911865,0.200370229,1.975996385,1.016227403,1.431811688,1.785542284,1.975163099,1.021709272,1.404819236,1.7607512
38,0.181487473,0.206338945,1.976236356,1.013360719,1.456445197,1.7832797,1.974931395,1.043787815,1.368331974,1.73874574
39,0.180515765,0.198703222,1.976738881,1.02600095,1.444691731,1.788801094,1.975781408,1.042077946,1.391157764,1.762307814
40,0.179910334,0.196408394,1.976728688,1.029542162,1.450206829,1.782795777,1.976909406,1.085152976,1.37440624,1.749651735
41,0.17322635,0.199893282,1.977763132,1.044916191,1.467398621,1.78953667,1.976222902,1.070876969,1.354597944,1.762363073
42,0.172187725,0.187139945,1.977813921,1.04789186,1.462042889,1.797159789,1.976960916,1.062856889,1.424451846,1.765361815
43,0.171722193,0.183886944,1.977904972,1.044211574,1.472265922,1.793641355,1.977626244,1.062190229,1.441228502,1.781434019
44,0.164914147,0.168095822,1.978577329,1.046380466,1.49726073,1.806377722,1.98051984,1.115501463,1.480872653,1.786689047
45,0.175498192,0.181872792,1.976894702,1.016047787,1.48405486,1.786629705,1.977800395,1.078983247,1.437090559,1.778103167
46,0.163257075,0.172712467,1.978877354,1.056745983,1.496895497,1.805520516,1.979738239,1.108609021,1.458785711,1.782799981
47,0.180755847,0.197239615,1.976746925,1.048487999,1.424749106,1.782674703,1.975399407,1.041876919,1.394249595,1.754013282
48,0.167887712,0.171275475,1.97875151,1.069041086,1.477269672,1.785348395,1.979677045,1.102116166,1.472265182,1.779202067
49,0.160635173,0.178561508,1.979245606,1.063550392,1.503096231,1.807841085,1.977886243,1.071549116,1.45766669,1.779927326
50,0.170814491,0.172004139,1.978044554,1.055679278,1.460659635,1.796919152,1.979598374,1.106322708,1.473512075,1.773617524
51,0.159874371,0.168630898,1.979580033,1.08552552,1.485943299,1.806680918,1.980490948,1.138671451,1.450509675,1.785056363
52,0.160277802,0.177692835,1.979229327,1.069073633,1.501159409,1.805126443,1.977930455,1.074259082,1.453946554,1.77891417
53,0.155137101,0.178139656,1.979645331,1.072376268,1.523909363,1.808612227,1.977859392,1.062785154,1.474350377,1.773230025
